icon 0: {'type': 'text', 'bbox': [0.3418150842189789, 0.8947574496269226, 0.4664970338344574, 0.9061033129692078], 'interactivity': False, 'content': '4/13 00:00-4/18 24:00', 'source': 'box_ocr_content_ocr'}
icon 1: {'type': 'icon', 'bbox': [0.016794390976428986, 0.25298312306404114, 0.33611321449279785, 0.4219905138015747], 'interactivity': True, 'content': '#1I Austin ', 'source': 'box_yolo_content_ocr'}
icon 2: {'type': 'icon', 'bbox': [0.3447246551513672, 0.25244131684303284, 0.6639149785041809, 0.42264777421951294], 'interactivity': True, 'content': '32.49 ', 'source': 'box_yolo_content_ocr'}
icon 3: {'type': 'icon', 'bbox': [0.7487839460372925, 0.5076873898506165, 0.9707476496696472, 0.6363717913627625], 'interactivity': True, 'content': '379 ', 'source': 'box_yolo_content_ocr'}
icon 4: {'type': 'icon', 'bbox': [0.5522894859313965, 0.15429767966270447, 0.7092306613922119, 0.23320035636425018], 'interactivity': True, 'content': '19.9 ', 'source': 'box_yolo_content_ocr'}
icon 5: {'type': 'icon', 'bbox': [0.5192043781280518, 0.5076102614402771, 0.7379419803619385, 0.6070781350135803], 'interactivity': True, 'content': '25 ', 'source': 'box_yolo_content_ocr'}
icon 6: {'type': 'icon', 'bbox': [0.5184858441352844, 0.6138539910316467, 0.7411078214645386, 0.7427526116371155], 'interactivity': True, 'content': '354 ', 'source': 'box_yolo_content_ocr'}
icon 7: {'type': 'icon', 'bbox': [0.017648451030254364, 0.6455875635147095, 0.49260133504867554, 0.7170267105102539], 'interactivity': True, 'content': '65 E1000+ ', 'source': 'box_yolo_content_ocr'}
icon 8: {'type': 'icon', 'bbox': [0.09729372709989548, 0.01981237158179283, 0.26739537715911865, 0.048973165452480316], 'interactivity': True, 'content': '13:04  ', 'source': 'box_yolo_content_ocr'}
icon 9: {'type': 'icon', 'bbox': [0.6743183135986328, 0.2530342936515808, 0.9922321438789368, 0.4220735728740692], 'interactivity': True, 'content': 'a remote control or application related to a user interface.', 'source': 'box_yolo_content_yolo'}
icon 10: {'type': 'icon', 'bbox': [0.19827304780483246, 0.1607673466205597, 0.36774319410324097, 0.23302775621414185], 'interactivity': True, 'content': 'A symbol or logo related to Chinese characters.', 'source': 'box_yolo_content_yolo'}
icon 11: {'type': 'icon', 'bbox': [0.71578449010849, 0.15937086939811707, 0.8892072439193726, 0.23469451069831848], 'interactivity': True, 'content': 'A folder or file.', 'source': 'box_yolo_content_yolo'}
icon 12: {'type': 'icon', 'bbox': [0.7472938299179077, 0.6402543783187866, 0.9745997190475464, 0.7483810186386108], 'interactivity': True, 'content': 'A notification indicating a notification or message.', 'source': 'box_yolo_content_yolo'}
icon 13: {'type': 'icon', 'bbox': [0.8897667527198792, 0.15946246683597565, 1.0, 0.23449181020259857], 'interactivity': True, 'content': 'a link or comment function.', 'source': 'box_yolo_content_yolo'}
icon 14: {'type': 'icon', 'bbox': [0.022321419790387154, 0.16138899326324463, 0.19555531442165375, 0.2337525188922882], 'interactivity': True, 'content': 'A bookmark or note.', 'source': 'box_yolo_content_yolo'}
icon 15: {'type': 'icon', 'bbox': [0.7786887288093567, 0.06649985909461975, 0.9794379472732544, 0.10774732381105423], 'interactivity': True, 'content': 'A symbol or symbol related to a user profile or account.', 'source': 'box_yolo_content_yolo'}
icon 16: {'type': 'icon', 'bbox': [0.3748699426651001, 0.1559583842754364, 0.5399987101554871, 0.23437389731407166], 'interactivity': True, 'content': 'a comment or comment mark.', 'source': 'box_yolo_content_yolo'}
icon 17: {'type': 'icon', 'bbox': [0.6828895807266235, 0.06698580086231232, 0.7776534557342529, 0.10765281319618225], 'interactivity': True, 'content': 'A thumbs up or thumbs up symbol.', 'source': 'box_yolo_content_yolo'}
icon 18: {'type': 'icon', 'bbox': [0.014001677744090557, 0.06311279535293579, 0.5851717591285706, 0.11176518350839615], 'interactivity': True, 'content': 'A note-taking application or note-related function.', 'source': 'box_yolo_content_yolo'}
