icon 0: {'type': 'icon', 'bbox': [0.09444250911474228, 0.020779892802238464, 0.2685081958770752, 0.046800658106803894], 'interactivity': True, 'content': '14:49  ', 'source': 'box_yolo_content_ocr'}
icon 1: {'type': 'icon', 'bbox': [0.7088649272918701, 0.021578283980488777, 0.7719119191169739, 0.047941602766513824], 'interactivity': True, 'content': 'a user profile or account.', 'source': 'box_yolo_content_yolo'}
icon 2: {'type': 'icon', 'bbox': [0.7668026685714722, 0.021516606211662292, 0.9201984405517578, 0.04631492495536804], 'interactivity': True, 'content': 'A battery charging symbol.', 'source': 'box_yolo_content_yolo'}
icon 3: {'type': 'icon', 'bbox': [0.02791382186114788, 0.0744917243719101, 0.10657156258821487, 0.115785151720047], 'interactivity': True, 'content': 'LIVE ', 'source': 'box_yolo_content_ocr'}
icon 4: {'type': 'icon', 'bbox': [0.29728949069976807, 0.08118562400341034, 0.37966305017471313, 0.10952863842248917], 'interactivity': True, 'content': 'the symbol for a symbol or symbol.', 'source': 'box_yolo_content_yolo'}
icon 5: {'type': 'icon', 'bbox': [0.4064211845397949, 0.08056272566318512, 0.48628562688827515, 0.10903424769639969], 'interactivity': True, 'content': 'A symbol or symbol related to a user or account.', 'source': 'box_yolo_content_yolo'}
icon 6: {'type': 'icon', 'bbox': [0.5107587575912476, 0.0799182802438736, 0.5968133807182312, 0.11050286144018173], 'interactivity': True, 'content': 'A symbol or symbol related to a social media or platform.', 'source': 'box_yolo_content_yolo'}
icon 7: {'type': 'icon', 'bbox': [0.6233592629432678, 0.07313809543848038, 0.7140198349952698, 0.12533943355083466], 'interactivity': True, 'content': 'Adding a new item or element.', 'source': 'box_yolo_content_yolo'}
icon 8: {'type': 'icon', 'bbox': [0.8105955123901367, 0.06902561336755753, 0.8892736434936523, 0.11795063316822052], 'interactivity': True, 'content': 'a line or pointer.', 'source': 'box_yolo_content_yolo'}
icon 9: {'type': 'icon', 'bbox': [0.8937191963195801, 0.07985054701566696, 0.9600121974945068, 0.1137823686003685], 'interactivity': True, 'content': 'A magnifying glass, typically used to search or magnify.', 'source': 'box_yolo_content_yolo'}
icon 10: {'type': 'icon', 'bbox': [0.03645014762878418, 0.17500999569892883, 0.1299668848514557, 0.2170068472623825], 'interactivity': True, 'content': 'A sticky note or note-taking application.', 'source': 'box_yolo_content_yolo'}
